epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
127,95,1,1,5,0,3,---,---,000,1,1,0,98,98
127,95,5,1,5,0,3,---,---,000,1,1,0,98,98
119,95,7,2,5,0,4,----,----,000,1,1,0,98,98
120,96,9,2,5,0,4,----,----,000,1,1,0,98,98
112,96,11,3,5,0,2,--,--,000,1,1,0,98,98
112,96,13,3,5,0,2,--,--,000,1,1,0,98,98
127,95,3,1,5,0,3,---,---,000,1,1,0,98,98
127,95,20,1,5,0,3,---,---,000,1,1,0,98,98
119,95,22,2,5,0,4,----,----,000,1,1,0,98,98
120,96,24,2,5,0,4,----,----,000,1,1,0,98,98
112,96,26,3,5,0,2,--,--,000,1,1,0,98,98
112,96,28,3,5,0,2,--,--,000,1,1,0,98,98
105,97,30,4,5,0,4,----,----,000,1,1,0,98,98
105,97,32,4,5,0,4,----,----,000,1,1,0,98,98
97,97,33,5,5,0,1,-,-,000,1,1,0,98,98
97,97,34,5,5,0,1,-,-,000,1,1,0,98,98
89,97,43,6,5,0,3,---,---,000,1,1,0,98,98
89,97,45,6,5,0,3,---,---,000,1,1,0,98,98
81,97,47,7,5,0,2,--,--,000,1,1,0,98,98
82,98,40,7,5,0,2,--,--,000,1,1,0,98,98
81,98,49,7,5,0,2,--,--,000,1,1,0,98,98
82,98,42,7,5,0,2,--,--,000,1,1,0,98,98
113,97,11,3,5,0,2,--,--,000,1,1,0,98,98
193,177,11,3,5,0,2,--,--,000,17,17,0,25177,25177
194,178,11,3,5,0,2,--,--,000,82,82,0,121442,121442
129,97,5,1,5,0,3,---,---,000,1,1,0,98,98
211,179,5,1,5,0,3,---,---,000,80,80,0,118480,118480
195,179,11,3,5,0,2,--,--,000,83,83,0,122923,122923
212,180,5,1,5,0,3,---,---,000,110,110,0,162910,162910
196,180,11,3,5,0,2,--,--,000,81,81,0,119961,119961
213,181,5,1,5,0,3,---,---,000,109,109,0,161429,161429
197,181,11,3,5,0,2,--,--,000,84,84,0,124404,124404
214,182,5,1,5,0,3,---,---,000,112,112,0,165872,165872
198,182,11,3,5,0,2,--,--,000,84,84,0,124404,124404
215,183,5,1,5,0,3,---,---,000,110,110,0,162910,162910
199,183,11,3,5,0,2,--,--,000,83,83,0,122923,122923
216,184,5,1,5,0,3,---,---,000,112,112,0,165872,165872
200,184,11,3,5,0,2,--,--,000,83,83,0,122923,122923
217,185,5,1,5,0,3,---,---,000,111,111,0,164391,164391
201,185,11,3,5,0,2,--,--,000,83,83,0,122923,122923
218,186,5,1,5,0,3,---,---,000,111,111,0,164391,164391
202,186,11,3,5,0,2,--,--,000,84,84,0,124404,124404
219,187,5,1,5,0,3,---,---,000,111,111,0,164391,164391
203,187,11,3,5,0,2,--,--,000,83,83,0,122923,122923
220,188,5,1,5,0,3,---,---,000,110,110,0,162910,162910
204,188,11,3,5,0,2,--,--,000,83,83,0,122923,122923
221,189,5,1,5,0,3,---,---,000,112,112,0,165872,165872
205,189,11,3,5,0,2,--,--,000,84,84,0,124404,124404
222,190,5,1,5,0,3,---,---,000,109,109,0,161429,161429
206,190,11,3,5,0,2,--,--,000,82,82,0,121442,121442
223,191,5,1,5,0,3,---,---,000,110,110,0,162910,162910
207,191,11,3,5,0,2,--,--,000,84,84,0,124404,124404
224,192,5,1,5,0,3,---,---,000,112,112,0,165872,165872
208,192,11,3,5,0,2,--,--,000,82,82,0,121442,121442
225,193,5,1,5,0,3,---,---,000,112,112,0,165872,165872
209,193,11,3,5,0,2,--,--,000,82,82,0,121442,121442
226,194,5,1,5,0,3,---,---,000,111,111,0,164391,164391
210,194,11,3,5,0,2,--,--,000,83,83,0,122923,122923
227,195,5,1,5,0,3,---,---,000,109,109,0,161429,161429
211,195,11,3,5,0,2,--,--,000,84,84,0,124404,124404
228,196,5,1,5,0,3,---,---,000,110,110,0,162910,162910
212,196,11,3,5,0,2,--,--,000,84,84,0,124404,124404
229,197,5,1,5,0,3,---,---,000,111,111,0,164391,164391
213,197,11,3,5,0,2,--,--,000,83,83,0,122923,122923
230,198,5,1,5,0,3,---,---,000,113,113,0,167353,167353
214,198,11,3,5,0,2,--,--,000,84,84,0,124404,124404
231,199,5,1,5,0,3,---,---,000,112,112,0,165872,165872
215,199,11,3,5,0,2,--,--,000,81,81,0,119961,119961
232,200,5,1,5,0,3,---,---,000,111,111,0,164391,164391
216,200,11,3,5,0,2,--,--,000,83,83,0,122923,122923
233,201,5,1,5,0,3,---,---,000,110,110,0,162910,162910
217,201,11,3,5,0,2,--,--,000,83,83,0,122923,122923
234,202,5,1,5,0,3,---,---,000,110,110,0,162910,162910
218,202,11,3,5,0,2,--,--,000,83,83,0,122923,122923
235,203,5,1,5,0,3,---,---,000,111,111,0,164391,164391
219,203,11,3,5,0,2,--,--,000,85,85,0,125885,125885
236,204,5,1,5,0,3,---,---,000,108,108,0,159948,159948
220,204,11,3,5,0,2,--,--,000,84,84,0,124404,124404
237,205,5,1,5,0,3,---,---,000,110,110,0,162910,162910
221,205,11,3,5,0,2,--,--,000,82,82,0,121442,121442
238,206,5,1,5,0,3,---,---,000,112,112,0,165872,165872
222,206,11,3,5,0,2,--,--,000,82,82,0,121442,121442
239,207,5,1,5,0,3,---,---,000,104,104,0,154024,154024
