# IntSight report packet log for interface s6-eth3.
[ 127=>  87: 1] (1 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 127=>  87:10] (1 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 119=>  87:12] (2 => 6, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 120=>  88:14] (2 => 6, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 112=>  88:16] (3 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 112=>  88:18] (3 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 105=>  89:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 105=>  89:22] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  97=>  89:24] (5 => 6, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 127=>  87: 3] (1 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 127=>  87:32] (1 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 120=>  87:34] (2 => 6, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 120=>  88:36] (2 => 6, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 112=>  88:38] (3 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 112=>  88:40] (3 => 6, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 105=>  89:42] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 105=>  89:44] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  97=>  89:46] (5 => 6, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  82=>  90:28] (7 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  82=>  91:48] (7 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  82=>  90:30] (7 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  82=>  91:50] (7 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 106=>  90:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 188=> 172:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0152=>0152(000) bits=01800896=>01800896
[ 189=> 173:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0164=>0164(000) bits=01943072=>01943072
[ 190=> 174:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0169=>0169(000) bits=02002312=>02002312
[ 191=> 175:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0165=>0165(000) bits=01954920=>01954920
[ 192=> 176:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 193=> 177:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 194=> 178:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0165=>0165(000) bits=01954920=>01954920
[ 195=> 179:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0165=>0165(000) bits=01954920=>01954920
[ 196=> 180:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 197=> 181:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0168=>0168(000) bits=01990464=>01990464
[ 198=> 182:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0165=>0165(000) bits=01954920=>01954920
[ 199=> 183:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0166=>0166(000) bits=01966768=>01966768
[ 200=> 184:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0168=>0168(000) bits=01990464=>01990464
[ 201=> 185:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0168=>0168(000) bits=01990464=>01990464
[ 202=> 186:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0164=>0164(000) bits=01943072=>01943072
[ 203=> 187:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
[ 204=> 188:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0164=>0164(000) bits=01943072=>01943072
[ 205=> 189:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0163=>0163(000) bits=01931224=>01931224
[ 206=> 190:20] (4 => 6, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0167=>0167(000) bits=01978616=>01978616
