epoch,eepoch,flow,psrc,pdst,path,plen,cps,sps,hds,ipkts,epkts,drops,ibytes,ebytes
94,102,6,2,1,0,2,--,--,000,1,1,0,98,98
94,102,22,2,1,0,2,--,--,000,1,1,0,98,98
86,102,8,3,1,0,3,---,---,000,1,1,0,98,98
86,102,24,3,1,0,3,---,---,000,1,1,0,98,98
86,102,10,3,1,0,3,---,---,000,1,1,0,98,98
86,102,26,3,1,0,3,---,---,000,1,1,0,98,98
78,102,12,4,1,0,4,----,----,000,1,1,0,98,98
78,102,28,4,1,0,4,----,----,000,1,1,0,98,98
78,102,14,4,1,0,4,----,----,000,1,1,0,98,98
78,102,30,4,1,0,4,----,----,000,1,1,0,98,98
70,102,16,5,1,0,5,-----,-----,000,1,1,0,98,98
70,102,32,5,1,0,5,-----,-----,000,1,1,0,98,98
70,102,18,5,1,0,5,-----,-----,000,1,1,0,98,98
70,102,33,5,1,0,5,-----,-----,000,1,1,0,98,98
102,102,1,1,1,0,1,-,-,000,2,2,0,196,196
102,102,2,1,1,0,1,-,-,000,2,2,0,196,196
94,102,4,2,1,0,2,--,--,000,2,2,0,196,196
95,103,6,2,1,0,2,--,--,000,1,1,0,98,98
87,103,8,3,1,0,3,---,---,000,1,1,0,98,98
87,103,10,3,1,0,3,---,---,000,1,1,0,98,98
79,103,12,4,1,0,4,----,----,000,1,1,0,98,98
79,104,14,4,1,0,4,----,----,000,1,1,0,98,98
72,104,16,5,1,0,5,-----,-----,000,1,1,0,98,98
72,104,18,5,1,0,5,-----,-----,000,1,1,0,98,98
1261,1261,2,1,1,0,1,-,-,000,1,1,0,98,98
1261,1261,1,1,1,0,1,-,-,000,1,1,0,98,98
94,102,20,2,1,0,2,--,--,000,2,2,0,196,196
95,103,22,2,1,0,2,--,--,000,1,1,0,98,98
87,103,24,3,1,0,3,---,---,000,1,1,0,98,98
87,103,26,3,1,0,3,---,---,000,1,1,0,98,98
79,103,28,4,1,0,4,----,----,000,1,1,0,98,98
79,104,30,4,1,0,4,----,----,000,1,1,0,98,98
72,104,32,5,1,0,5,-----,-----,000,1,1,0,98,98
72,104,33,5,1,0,5,-----,-----,000,1,1,0,98,98
1253,1261,4,2,1,0,2,--,--,000,1,1,0,98,98
1253,1261,6,2,1,0,2,--,--,000,1,1,0,98,98
1245,1261,8,3,1,0,3,---,---,000,1,1,0,98,98
1245,1261,10,3,1,0,3,---,---,000,1,1,0,98,98
1237,1261,12,4,1,0,4,----,----,000,1,1,0,98,98
1238,1262,28,4,1,0,4,----,----,000,1,1,0,98,98
1237,1261,14,4,1,0,4,----,----,000,1,1,0,98,98
1238,1262,30,4,1,0,4,----,----,000,1,1,0,98,98
1229,1262,16,5,1,0,5,-----,-----,000,1,1,0,98,98
1230,1262,32,5,1,0,5,-----,-----,000,1,1,0,98,98
1229,1262,18,5,1,0,5,-----,-----,000,1,1,0,98,98
1230,1262,33,5,1,0,5,-----,-----,000,1,1,0,98,98
