# IntSight report packet log for interface s4-eth3.
[ 102=>  78: 1] (1 => 4, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 102=>  78: 5] (1 => 4, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  94=>  78: 9] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 102=>  78: 3] (1 => 4, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[ 102=>  78: 7] (1 => 4, p=0, len=4, cps= ----, sps= ----) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  94=>  78:11] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  95=>  79:15] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  87=>  79:19] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  87=>  79:23] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  79=>  79:26] (4 => 4, p=0, len=1, cps=    -, sps=    -) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  79=>  79:25] (4 => 4, p=0, len=1, cps=    -, sps=    -) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  71=>  79:28] (5 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  71=>  79:31] (5 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0001=>0001(000) bits=00000784=>00000784
[  95=>  79:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0002=>0002(000) bits=00001568=>00001568
[  87=>  79:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0002=>0002(000) bits=00001568=>00001568
[ 173=> 157:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0016=>0016(000) bits=00189568=>00189568
[ 165=> 157:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0011=>0011(000) bits=00130328=>00130328
[ 174=> 158:13] (2 => 4, p=0, len=3, cps=  ---, sps=  ---) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
[ 166=> 158:21] (3 => 4, p=0, len=2, cps=   --, sps=   --) hd=000 pkts=0082=>0082(000) bits=00971536=>00971536
